check_id,engine,category,priority,title,scope,cost,pass,source,min_version,max_version,run_on,requires,platform_skip,platform_priority,fix_effort,fix_risk,condition,thresholds,reads,ref,docs_url,status,since,superseded_by,threshold_changed
PG-CORR-005,postgresql,CORR,1,Corruption messages in the recent server log,cluster,2,deep,log,10,,any,superuser;os,,,L,high,"Any of: 'invalid page in block', 'could not read block', 'unexpected chunk number', 'missing chunk number', 'unexpected zero page', 'page verification failed', 'WAL contains references to invalid pages', 'PANIC' in the last 50 MB of server log. Crash-only patterns route to REL-011 instead.",scan_bytes=52428800,server log via pg_current_logfile()/pg_read_file,reference/checks-postgres.md#pg-corr-005,https://www.postgresql.org/docs/current/checksums.html,active,0.1.0,,
PG-DUR-001,postgresql,DUR,1,fsync disabled,setting,0,fast,sql,,,any,,neon,,S,low,"fsync = off. Any operating-system crash or power loss can leave the cluster unrecoverable, not merely missing recent transactions.",,pg_settings,reference/checks-postgres.md#pg-dur-001,https://www.postgresql.org/docs/current/wal-reliability.html,active,0.1.0,,
PG-DUR-002,postgresql,DUR,1,full_page_writes disabled,setting,0,fast,sql,,,any,,neon,,S,low,full_page_writes = off. Torn pages after a crash are unrecoverable unless the filesystem guarantees atomic 8 kB writes (ZFS does; ext4 and xfs do not).,,pg_settings,reference/checks-postgres.md#pg-dur-002,https://www.postgresql.org/docs/current/wal-reliability.html,active,0.1.0,,
PG-REL-002,postgresql,REL,1,End-of-life major version reachable from the network,cluster,0,fast,derived,,,any,superuser,,,L,med,Derived: REL-001 and SEC-003 both fired. An unpatchable server is reachable from beyond the host.,,"REL-001, SEC-003",reference/checks-postgres.md#pg-rel-002,https://www.postgresql.org/support/versioning/,active,0.1.0,,
PG-REPL-001,postgresql,REPL,1,Synchronous replication configured but no synchronous standby connected,cluster,0,fast,sql,9.6,,primary,pg_monitor,,,S,med,"synchronous_standby_names is non-empty, no pg_stat_replication row has sync_state = 'sync' or 'quorum', and synchronous_commit is not 'off' or 'local'. Commits are hanging right now.",,"pg_settings, pg_stat_replication",reference/checks-postgres.md#pg-repl-001,https://www.postgresql.org/docs/current/warm-standby.html#SYNCHRONOUS-REPLICATION,active,0.1.0,,
PG-REPL-002,postgresql,REPL,1,Inactive replication slot retaining more than 10 GB of WAL,slot,0,fast,sql,9.4,,any,,,,S,med,"A slot with active = false whose restart_lsn is 10 GB or more behind the current WAL position, or whose wal_status is 'unreserved' (13+). pg_wal grows until the volume fills and the primary PANICs.",retained_bytes=10737418240,"pg_replication_slots, pg_current_wal_lsn()",reference/checks-postgres.md#pg-repl-002,https://www.postgresql.org/docs/current/warm-standby.html#STREAMING-REPLICATION-SLOTS,active,0.1.0,,
PG-SEC-001,postgresql,SEC,1,trust authentication reachable over the network,cluster,0,fast,sql,10,,any,superuser,rds;aurora;cloudsql;azure;supabase;neon;crunchy;timescale;alloydb;heroku,,S,med,"A host, hostssl or hostnossl pg_hba rule with auth_method = 'trust' whose address is not 127.0.0.1/32 or ::1/128 and whose error column is null. Anyone who can reach the port is any role they name.",,pg_hba_file_rules,reference/checks-postgres.md#pg-sec-001,https://www.postgresql.org/docs/current/auth-methods.html,active,0.1.0,,
PG-WRAP-001,postgresql,WRAP,1,Transaction ID or MultiXact wraparound imminent,database,0,fast,sql,,,any,,,,M,low,"greatest(age(datfrozenxid), mxid_age(datminmxid)) >= 1,500,000,000 for any database, including templates. At 2^31 the cluster refuses new XIDs and stops accepting writes.",xid_age=1500000000,pg_database,reference/checks-postgres.md#pg-wrap-001,https://www.postgresql.org/docs/current/routine-vacuuming.html#VACUUM-FOR-WRAPAROUND,active,0.1.0,,
PG-BAK-005,postgresql,BAK,5,Archiving enabled but no archive_command or archive_library set,setting,0,fast,sql,,,primary,,,,S,low,archive_mode <> off and both archive_command and archive_library (15+) are empty. WAL is retained forever and the log fills with warnings.,,pg_settings,reference/checks-postgres.md#pg-bak-005,https://www.postgresql.org/docs/current/runtime-config-wal.html#RUNTIME-CONFIG-WAL-ARCHIVING,active,0.1.0,,
PG-CONN-001,postgresql,CONN,5,Connections at 90 percent or more of max_connections,cluster,0,fast,sql,10,,any,pg_monitor,,,M,med,"Client backends >= 0.90 x (max_connections - superuser_reserved_connections - reserved_connections). The next spike returns 'FATAL: sorry, too many clients already'.",conn_fraction=0.90,"pg_stat_activity, pg_settings",reference/checks-postgres.md#pg-conn-001,https://www.postgresql.org/docs/current/runtime-config-connection.html,active,0.1.0,,
PG-LOCK-006,postgresql,LOCK,5,Orphaned prepared transactions,cluster,0,fast,sql,,,any,,,,S,high,"A row in pg_prepared_xacts prepared 1 hour or more ago. Prepared transactions hold locks and the xmin horizon indefinitely, survive restarts, and are invisible in pg_stat_activity.",prepared_seconds=3600,pg_prepared_xacts,reference/checks-postgres.md#pg-lock-006,https://www.postgresql.org/docs/current/sql-prepare-transaction.html,active,0.1.0,,
PG-REPL-003,postgresql,REPL,5,Inactive replication slot retaining more than 1 GB of WAL,slot,0,fast,sql,9.4,,any,,,,S,med,A slot with active = false retaining between 1 GB and 10 GB of WAL.,retained_bytes=1073741824;retained_bytes_high=10737418240,"pg_replication_slots, pg_current_wal_lsn()",reference/checks-postgres.md#pg-repl-003,https://www.postgresql.org/docs/current/warm-standby.html#STREAMING-REPLICATION-SLOTS,active,0.1.0,,
PG-REPL-006,postgresql,REPL,5,Streaming replica lagging badly,replica,0,fast,sql,10,,primary,pg_monitor,,,M,low,"pg_wal_lsn_diff(sent_lsn, replay_lsn) >= 1 GB or replay_lag >= 5 minutes for a connected standby. A failover now would lose minutes of data or take minutes to complete.",lag_bytes=1073741824;lag_seconds=300,pg_stat_replication,reference/checks-postgres.md#pg-repl-006,https://www.postgresql.org/docs/current/warm-standby.html,active,0.1.0,,
PG-REPL-008,postgresql,REPL,5,Standby not streaming,cluster,0,fast,sql,9.6,,standby,,,,M,low,In recovery and either pg_stat_wal_receiver is empty or its status is not 'streaming' while restore_command is empty; or the receive-to-replay gap is 1 GB or more (replay stalled).,replay_gap_bytes=1073741824,"pg_stat_wal_receiver, pg_last_wal_receive_lsn(), pg_last_wal_replay_lsn()",reference/checks-postgres.md#pg-repl-008,https://www.postgresql.org/docs/current/warm-standby.html,active,0.1.0,,
PG-SCHEMA-001,postgresql,SCHEMA,5,Sequence or integer key at 90 percent or more of its range,relation,1,fast,sql,10,,any,,,,L,high,"last_value / effective_max >= 0.90, where effective_max is min(max_value, the maximum of the owning column's type: 32,767 / 2,147,483,647 / 9.22e18). Inserts fail with 'nextval: reached maximum value' or 'integer out of range'.",exhaustion_fraction=0.90,"pg_sequences, pg_depend, pg_attribute",reference/checks-postgres.md#pg-schema-001,https://www.postgresql.org/docs/current/sql-createsequence.html,active,0.1.0,,
PG-SEC-002,postgresql,SEC,5,Cleartext password authentication over the network,cluster,0,fast,sql,10,,any,superuser,rds;aurora;cloudsql;azure;supabase;neon;crunchy;timescale;alloydb;heroku,,S,med,A host or hostnossl pg_hba rule with auth_method = 'password'. The password crosses the network in the clear.,,pg_hba_file_rules,reference/checks-postgres.md#pg-sec-002,https://www.postgresql.org/docs/current/auth-password.html,active,0.1.0,,
PG-WRAP-005,postgresql,WRAP,5,Autovacuum disabled,setting,0,fast,sql,,,any,,,,S,low,"pg_settings.autovacuum = off. The emergency anti-wraparound vacuum still runs, which is why this is P5 and not P1, but nothing else does: bloat and stale statistics grow without bound.",,pg_settings,reference/checks-postgres.md#pg-wrap-005,https://www.postgresql.org/docs/current/runtime-config-autovacuum.html,active,0.1.0,,
PG-WRAP-006,postgresql,WRAP,5,Statistics tracking disabled (autovacuum blind),setting,0,fast,sql,,,any,,,,S,low,"pg_settings.track_counts = off. Autovacuum cannot see dead tuples, so only anti-wraparound vacuums will ever run.",,pg_settings,reference/checks-postgres.md#pg-wrap-006,https://www.postgresql.org/docs/current/runtime-config-autovacuum.html,active,0.1.0,,
PG-DUR-003,postgresql,DUR,10,synchronous_commit off cluster-wide,setting,0,fast,sql,,,any,,,,S,low,synchronous_commit = off at server level. Bounded loss of up to about 3 x wal_writer_delay (600 ms by default) on a crash. Often deliberate; always worth knowing about.,,pg_settings,reference/checks-postgres.md#pg-dur-003,https://www.postgresql.org/docs/current/runtime-config-wal.html,active,0.1.0,,
PG-LOCK-001,postgresql,LOCK,10,Blocking chain: session blocked more than 5 minutes,session,0,fast,sql,9.6,,any,pg_monitor,,,S,med,"A backend with a non-empty pg_blocking_pids() that has been waiting since state_change for 5 minutes or more. Details name the root blocker, its state, transaction start and query fingerprint.",blocked_seconds=300,"pg_stat_activity, pg_blocking_pids()",reference/checks-postgres.md#pg-lock-001,https://www.postgresql.org/docs/current/explicit-locking.html,active,0.1.0,,
PG-LOCK-003,postgresql,LOCK,10,Idle in transaction for more than 1 hour,session,0,fast,sql,10,,any,pg_monitor,,,S,med,"A backend in state 'idle in transaction' (or 'idle in transaction (aborted)') since state_change 1 hour or more ago. It holds locks and the xmin horizon, and blocks DDL and vacuum.",idle_seconds=3600,pg_stat_activity,reference/checks-postgres.md#pg-lock-003,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-ACTIVITY-VIEW,active,0.1.0,,
PG-REL-005,postgresql,REL,10,Server restarted within the last 24 hours,cluster,0,fast,sql,,,any,,,,S,low,"now() - pg_postmaster_start_time() < 24 hours. Every counter-based check is low confidence, and the reason for the restart is itself worth knowing (see REL-011).",uptime_seconds=86400,pg_postmaster_start_time(),reference/checks-postgres.md#pg-rel-005,https://www.postgresql.org/docs/current/server-start.html,active,0.1.0,,
PG-REPL-005,postgresql,REPL,10,Replication slot invalidated or lost,slot,0,fast,sql,13,,any,,,,M,med,"pg_replication_slots.wal_status = 'lost' (13+), or conflicting = true (16+), or invalidation_reason is set (17+). The consumer must be re-initialised; the slot still exists and misleads anyone reading the topology.",,pg_replication_slots,reference/checks-postgres.md#pg-repl-005,https://www.postgresql.org/docs/current/warm-standby.html#STREAMING-REPLICATION-SLOTS,active,0.1.0,,
PG-REPL-012,postgresql,REPL,10,Logical subscription disabled or erroring,cluster,0,fast,sql,10,,any,pg_monitor,,,M,med,pg_subscription.subenabled = false; or enabled with no worker pid in pg_stat_subscription; or pg_stat_subscription_stats.apply_error_count/sync_error_count > 0 (15+). Data diverges while the publisher's slot keeps retaining WAL.,,"pg_subscription, pg_stat_subscription, pg_stat_subscription_stats",reference/checks-postgres.md#pg-repl-012,https://www.postgresql.org/docs/current/logical-replication-subscription.html,active,0.1.0,,
PG-REPL-013,postgresql,REPL,10,Published table without a usable replica identity,relation,1,fast,sql,10,,primary,,,,M,med,A table published for UPDATE or DELETE with relreplident = 'n'; or 'd' with no primary key; or 'i' with no valid replica-identity index. UPDATE and DELETE on the publisher error out.,,"pg_publication_tables, pg_publication, pg_class, pg_index",reference/checks-postgres.md#pg-repl-013,https://www.postgresql.org/docs/current/logical-replication-publication.html,active,0.1.0,,
PG-WRAP-002,postgresql,WRAP,10,Transaction ID or MultiXact age high,database,0,fast,sql,,,any,,,,M,low,"greatest(age(datfrozenxid), mxid_age(datminmxid)) >= 1,000,000,000 and < 1,500,000,000 in any database. Five times the default freeze age: autovacuum has been trying and failing for a long time.",xid_age=1000000000;xid_age_critical=1500000000,pg_database,reference/checks-postgres.md#pg-wrap-002,https://www.postgresql.org/docs/current/routine-vacuuming.html#VACUUM-FOR-WRAPAROUND,active,0.1.0,,
PG-BAK-006,postgresql,BAK,20,wal_level = minimal,setting,0,fast,sql,,,any,,,,M,low,"wal_level = minimal. No archiving, no streaming replication and no online base backup are possible without a restart.",,pg_settings,reference/checks-postgres.md#pg-bak-006,https://www.postgresql.org/docs/current/runtime-config-wal.html,active,0.1.0,,
PG-CAP-002,postgresql,CAP,20,Data or WAL volume 80 percent or more full,host,0,fast,os,,,any,os,,,M,med,As CAP-001 at 80% or more and below 90%.,used_fraction=0.80;used_fraction_high=0.90,df of data_directory and pg_wal,reference/checks-postgres.md#pg-cap-002,https://www.postgresql.org/docs/current/diskusage.html,active,0.1.0,,
PG-CAP-003,postgresql,CAP,20,Projected disk-full within 30 days,host,0,fast,derived,,,any,os,,,M,med,Growth measured between two saved snapshots projects 100% usage within 30 days. Confidence low with fewer than 7 days between snapshots.,projection_days=30;min_snapshot_days=7,saved snapshots plus CAP-001 inputs,reference/checks-postgres.md#pg-cap-003,https://www.postgresql.org/docs/current/diskusage.html,active,0.1.0,,
PG-CORR-006,postgresql,CORR,20,Collation version mismatch (index corruption risk),database,0,fast,sql,13,,any,,,,M,med,"pg_database.datcollversion differs from pg_database_collation_actual_version() (15+), or pg_collation.collversion differs from pg_collation_actual_version() (13+). A glibc or ICU upgrade changed sort order under existing text indexes, so index lookups can miss rows.",,"pg_database, pg_collation",reference/checks-postgres.md#pg-corr-006,https://www.postgresql.org/docs/current/collation.html,active,0.1.0,,
PG-LOCK-005,postgresql,LOCK,20,Client transaction open for more than 1 hour,session,0,fast,sql,10,,any,pg_monitor,,,S,med,"A client backend whose xact_start is 1 hour or older, excluding maintenance statements (VACUUM, CREATE INDEX, REINDEX, CLUSTER, COPY) and base-backup application names. It holds the xmin horizon, which is what VAC-005 measures.",xact_seconds=3600,pg_stat_activity,reference/checks-postgres.md#pg-lock-005,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-ACTIVITY-VIEW,active,0.1.0,,
PG-MEM-001,postgresql,MEM,20,shared_buffers at the shipped default,setting,0,fast,sql,,,any,,rds;aurora;cloudsql;azure;supabase;neon;crunchy;timescale;alloydb;heroku,,M,low,"shared_buffers <= 128 MB. The shipped default is sized to start anywhere, not to run anything. Managed platforms size it themselves, so this almost always means an untuned self-managed server.",shared_buffers_bytes=134217728,pg_settings,reference/checks-postgres.md#pg-mem-001,https://www.postgresql.org/docs/current/runtime-config-resource.html,active,0.1.0,,
PG-REL-001,postgresql,REL,20,Major version past end of life,cluster,0,fast,derived,,,any,,,,L,med,The running major version's end-of-life date in reference/versions.yml is in the past. No security fixes are issued. Escalates to REL-002 at P1 when SEC-003 also fired.,,"server_version_num, reference/versions.yml",reference/checks-postgres.md#pg-rel-001,https://www.postgresql.org/support/versioning/,active,0.1.0,,
PG-REL-011,postgresql,REL,20,Crash or OOM-kill evidence in the recent server log,cluster,2,deep,log,10,,any,superuser;os,,,M,med,"Any of 'was terminated by signal 9', 'server process ... was terminated by signal', 'database system was not properly shut down', 'terminating any other active server processes' in the recent log. Deep pass only.",scan_bytes=52428800,server log,reference/checks-postgres.md#pg-rel-011,https://www.postgresql.org/docs/current/error-message-reporting.html,active,0.1.0,,
PG-WRAP-007,postgresql,WRAP,20,autovacuum_freeze_max_age raised to 1 billion or more,setting,0,fast,sql,,,any,,,,S,low,"autovacuum_freeze_max_age >= 1,000,000,000 or autovacuum_multixact_freeze_max_age >= 1,000,000,000. Halves the safety margin and lengthens the emergency freeze window.",freeze_max_age=1000000000,pg_settings,reference/checks-postgres.md#pg-wrap-007,https://www.postgresql.org/docs/current/runtime-config-autovacuum.html,active,0.1.0,,
PG-BAK-007,postgresql,BAK,50,archive_timeout unset on a low-write primary,setting,0,fast,sql,,,primary,,,,S,low,"archive_mode is on, archive_timeout = 0, and no pg_receivewal is connected. The current segment may not ship for hours, so the recovery point objective is undefined. 60-300 s is a typical setting.",,"pg_settings, pg_stat_replication",reference/checks-postgres.md#pg-bak-007,https://www.postgresql.org/docs/current/runtime-config-wal.html#RUNTIME-CONFIG-WAL-ARCHIVING,active,0.1.0,,
PG-BAK-009,postgresql,BAK,50,"Restore never tested, or RPO/RTO undocumented",interview,0,fast,interview,,,any,interview,,,L,low,"The answer to 'when was the last successful restore test?' is more than 90 days ago, never, or unknown; or RPO/RTO are not stated.",restore_test_days=90,.db-triage.yml interview,reference/checks-postgres.md#pg-bak-009,https://www.postgresql.org/docs/current/backup.html,active,0.1.0,,
PG-CONN-002,postgresql,CONN,50,Connections at 70 percent or more of max_connections,cluster,0,fast,sql,10,,any,pg_monitor,,,M,med,"Client backends >= 0.70 x usable max_connections, below the CONN-001 threshold.",conn_fraction=0.70;conn_fraction_high=0.90,"pg_stat_activity, pg_settings",reference/checks-postgres.md#pg-conn-002,https://www.postgresql.org/docs/current/runtime-config-connection.html,active,0.1.0,,
PG-CONN-003,postgresql,CONN,50,max_connections very high with no evidence of a pooler,setting,0,fast,sql,10,,any,pg_monitor,,,L,med,"max_connections >= 500 and neither a known pooler application_name (pgbouncer, pgpool, pgcat, odyssey, supavisor, rds_proxy) nor 80% of connections arriving from 3 or fewer addresses. Each backend is an operating-system process.",max_conn=500;pooler_address_fraction=0.8;pooler_address_count=3,"pg_settings, pg_stat_activity",reference/checks-postgres.md#pg-conn-003,https://www.postgresql.org/docs/current/runtime-config-connection.html,active,0.1.0,,
PG-CONN-008,postgresql,CONN,50,Sessions currently waiting on locks,cluster,0,fast,sql,10,,any,pg_monitor,,,M,low,At least 10 sessions with wait_event_type = 'Lock' at snapshot time. See LOCK-001/002 for the chain.,waiting_sessions=10,pg_stat_activity,reference/checks-postgres.md#pg-conn-008,https://www.postgresql.org/docs/current/explicit-locking.html,active,0.1.0,,
PG-CORR-004,postgresql,CORR,50,Data checksums disabled,cluster,0,fast,sql,,,any,,rds;aurora;cloudsql;azure;supabase;neon,,L,med,current_setting('data_checksums') = off. Silent storage corruption cannot be detected. Enabling requires pg_checksums with the cluster shut down (12+) or a logical rebuild.,,pg_settings,reference/checks-postgres.md#pg-corr-004,https://www.postgresql.org/docs/current/checksums.html,active,0.1.0,,
PG-IDX-001,postgresql,IDX,50,Invalid index,index,1,fast,sql,,,any,,,,S,low,"pg_index.indisvalid = false or indisready = false. Left behind by a failed CREATE INDEX CONCURRENTLY: maintained on every write, never used by the planner, and if unique it still blocks conflicting inserts.",,"pg_index, pg_class",reference/checks-postgres.md#pg-idx-001,https://www.postgresql.org/docs/current/sql-createindex.html,active,0.1.0,,
PG-IDX-002,postgresql,IDX,50,Unused index 1 GB or larger,index,1,fast,sql,,,primary,,,,S,med,"idx_scan = 0, size >= 1 GB, statistics age >= 30 days, and the index is not unique, primary or a replica identity. Usage counters are per instance: verify on every replica before dropping.",min_bytes=1073741824;stats_age_days=30,"pg_stat_user_indexes, pg_index, pg_class",reference/checks-postgres.md#pg-idx-002,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-ALL-INDEXES-VIEW,active,0.1.0,,
PG-IDX-004,postgresql,IDX,50,Duplicate indexes,index,1,fast,sql,,,any,,,,S,low,"Two or more indexes on the same table identical in indkey, indclass, indoption, indexprs, indpred and uniqueness. Pure write amplification and storage waste; keep the one backing a constraint.",,"pg_index, pg_class",reference/checks-postgres.md#pg-idx-004,https://www.postgresql.org/docs/current/indexes.html,active,0.1.0,,
PG-IDX-006,postgresql,IDX,50,Estimated B-tree bloat over 50 percent (500 MB or more wasted),index,1,fast,sql,,,any,,,,M,med,"Catalog-only estimator: estimated index bloat >= 50% and >= 500 MB wasted. Estimated, not measured. Fix with REINDEX INDEX CONCURRENTLY (12+).",bloat_pct=50;wasted_bytes=524288000;top_n=10,"pg_index, pg_class, pg_attribute, pg_stats",reference/checks-postgres.md#pg-idx-006,https://www.postgresql.org/docs/current/sql-reindex.html,active,0.1.0,,
PG-IDX-008,postgresql,IDX,50,Unindexed foreign key on a large table,relation,1,fast,sql,,,any,,,,S,low,"A foreign-key constraint with no index whose leading key columns equal conkey in order, on a child table of 100 MB or more. A parent DELETE or key UPDATE then sequentially scans the child under a share lock, and at this size one such scan is expensive whatever the parent's write rate is. The write-activity tier is PG-IDX-018; everything below both is PG-IDX-009.",min_bytes=104857600,"pg_constraint, pg_index, pg_class",reference/checks-postgres.md#pg-idx-008,https://www.postgresql.org/docs/current/ddl-constraints.html#DDL-CONSTRAINTS-FK,active,0.1.0,,0.2.0
PG-IDX-010,postgresql,IDX,50,Large table with heavy sequential scans,relation,1,fast,sql,,,any,,,,M,low,"Table 1 GB or larger, seq_scan >= 100 since reset, average rows per sequential scan >= 100,000, and sequential scans are at least 5% of all scans. Confidence medium: batch jobs scan legitimately.",min_bytes=1073741824;min_seq_scans=100;rows_per_scan=100000;seq_fraction=0.05;top_n=10,"pg_stat_user_tables, pg_class",reference/checks-postgres.md#pg-idx-010,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-ALL-TABLES-VIEW,active,0.1.0,,
PG-LOCK-002,postgresql,LOCK,50,Blocking chain: session blocked more than 30 seconds,session,0,fast,sql,9.6,,any,pg_monitor,,,S,med,As LOCK-001 but with a wait of 30 seconds or more and less than 5 minutes.,blocked_seconds=30;blocked_seconds_high=300,"pg_stat_activity, pg_blocking_pids()",reference/checks-postgres.md#pg-lock-002,https://www.postgresql.org/docs/current/explicit-locking.html,active,0.1.0,,
PG-LOCK-004,postgresql,LOCK,50,Idle in transaction for more than 5 minutes,session,0,fast,sql,10,,any,pg_monitor,,,S,med,As LOCK-003 but 5 minutes or more and less than 1 hour.,idle_seconds=300;idle_seconds_high=3600,pg_stat_activity,reference/checks-postgres.md#pg-lock-004,https://www.postgresql.org/docs/current/monitoring-stats.html#MONITORING-PG-STAT-ACTIVITY-VIEW,active,0.1.0,,
PG-MEM-003,postgresql,MEM,50,Worst-case memory commitment exceeds RAM (OOM risk),setting,0,fast,sql,,,any,os,,,M,med,"shared_buffers + max_connections x work_mem x max(2, hash_mem_multiplier) + autovacuum_max_workers x coalesce(autovacuum_work_mem, maintenance_work_mem) >= RAM. The OOM killer takes out the postmaster, not the offending backend. Fires at P100 with the computed figure when RAM is unknown.",ram_bytes=0;ram_fraction=1.0,"pg_settings, baseline.ram_gb",reference/checks-postgres.md#pg-mem-003,https://www.postgresql.org/docs/current/runtime-config-resource.html,active,0.1.0,,
PG-REPL-004,postgresql,REPL,50,Inactive replication slot,slot,0,fast,sql,9.4,,any,,,,S,med,"A slot with active = false retaining less than 1 GB. The consumer may be gone for good; details include inactive_since (17+), slot type and output plugin.",retained_bytes_low=1073741824,pg_replication_slots,reference/checks-postgres.md#pg-repl-004,https://www.postgresql.org/docs/current/warm-standby.html#STREAMING-REPLICATION-SLOTS,active,0.1.0,,
PG-REPL-007,postgresql,REPL,50,Streaming replica lag moderate,replica,0,fast,sql,10,,primary,pg_monitor,,,M,low,"pg_wal_lsn_diff(sent_lsn, replay_lsn) >= 100 MB or replay_lag >= 30 s, below the REPL-006 thresholds.",lag_bytes=104857600;lag_seconds=30;lag_bytes_high=1073741824;lag_seconds_high=300,pg_stat_replication,reference/checks-postgres.md#pg-repl-007,https://www.postgresql.org/docs/current/warm-standby.html,active,0.1.0,,
PG-REPL-009,postgresql,REPL,50,Slot WAL retention unbounded,setting,0,fast,sql,13,,primary,,,,S,low,"PostgreSQL 13 or newer, at least one replication slot exists, and max_slot_wal_keep_size = -1. A dead consumer can then fill the WAL volume and take down the primary. Size a cap to the volume, for example 20-50 GB.",,"pg_settings, pg_replication_slots",reference/checks-postgres.md#pg-repl-009,https://www.postgresql.org/docs/current/runtime-config-replication.html,active,0.1.0,,
PG-REPL-010,postgresql,REPL,50,Standby streaming without a slot while wal_keep_size is 0,replica,0,fast,sql,9.4,,primary,pg_monitor,,,S,low,"A pg_stat_replication row whose pid is not any slot's active_pid, while wal_keep_size (or wal_keep_segments before 13) is 0. Any network interruption that outlasts checkpoint recycling forces a rebuild of that standby.",,"pg_stat_replication, pg_replication_slots, pg_settings",reference/checks-postgres.md#pg-repl-010,https://www.postgresql.org/docs/current/runtime-config-replication.html,active,0.1.0,,
