check_id,engine,category,priority,title,scope,cost,pass,source,min_version,max_version,run_on,requires,platform_skip,platform_priority,fix_effort,fix_risk,condition,thresholds,reads,ref,docs_url,status,since,superseded_by,threshold_changed
MY-SCHEMA-003,mysql,SCHEMA,150,sql_require_primary_key off while primary-key-less tables exist,setting,1,fast,sql,8.0.13,,any,,,,S,med,sql_require_primary_key OFF while primary-key-less tables exist.,,"@dbt_v_sql_require_primary_key, information_schema.TABLES/STATISTICS",reference/checks-mysql.md#my-schema-003,https://dev.mysql.com/doc/refman/8.4/en/server-system-variables.html#sysvar_sql_require_primary_key,active,0.1.0,,
MY-CFG-002,mysql,CFG,200,Persisted variables (inventory),setting,0,inventory,sql,8.0,,any,SELECT ON performance_schema.*,,,S,low,Always emitted when persisted variables exist.,,performance_schema.persisted_variables,reference/checks-mysql.md#my-cfg-002,https://dev.mysql.com/doc/refman/8.4/en/persisted-system-variables.html,active,0.1.0,,
MY-SEC-013,mysql,SEC,200,Accounts without password expiry (review),role,0,inventory,sql,,,any,SELECT ON mysql.*,,,S,low,Accounts inherit an unlimited default_password_lifetime.,,"normalised account source (password_lifetime), @dbt_v_default_password_lifetime",reference/checks-mysql.md#my-sec-013,https://dev.mysql.com/doc/refman/8.4/en/password-management.html,active,0.1.0,,
MY-BAK-001,"mysql,mariadb",BAK,1,Binary logging disabled — point-in-time recovery impossible,cluster,0,fast,sql,,,any,,rds;aurora;cloudsql;azure,rds=200;aurora=200;cloudsql=200;azure=200,M,med,log_bin = OFF on a self-managed primary.,,"@@GLOBAL.log_bin, @dbt_platform, @dbt_is_replica",reference/checks-mysql.md#my-bak-001,https://dev.mysql.com/doc/refman/8.4/en/binary-log.html,active,0.1.0,,
MY-BAK-002,"mysql,mariadb",BAK,1,Last successful backup unknown or older than 7 days,cluster,0,fast,external,,,any,os;interview,,,M,low,"No backup tool output found, or newest backup >= 7 days old.",,,reference/checks-mysql.md#my-bak-002,https://dev.mysql.com/doc/refman/8.4/en/backup-methods.html,active,0.1.0,,
MY-CAP-001,"mysql,mariadb",CAP,1,"Data, binary log or temp volume at or above 90 percent full",host,0,fast,os,,,any,os,rds;aurora;cloudsql;azure,,M,high,A MySQL volume is >= 90% full.,,,reference/checks-mysql.md#my-cap-001,https://dev.mysql.com/doc/refman/8.4/en/disk-issues.html,active,0.1.0,,
MY-DUR-004,"mysql,mariadb",DUR,1,InnoDB doublewrite buffer disabled,setting,0,fast,sql,,,any,,,,M,high,innodb_doublewrite is OFF or DETECT_ONLY.,,"@@GLOBAL.innodb_doublewrite, @@GLOBAL.innodb_page_size",reference/checks-mysql.md#my-dur-004,https://dev.mysql.com/doc/refman/8.4/en/innodb-doublewrite-buffer.html,active,0.1.0,,
MY-DUR-005,"mysql,mariadb",DUR,1,Server running in innodb_force_recovery mode,setting,0,fast,sql,,,any,,,,L,high,innodb_force_recovery > 0.,,@@GLOBAL.innodb_force_recovery,reference/checks-mysql.md#my-dur-005,https://dev.mysql.com/doc/refman/8.4/en/forcing-innodb-recovery.html,active,0.1.0,,
MY-REL-002,"mysql,mariadb",REL,1,End-of-life server reachable from any network interface,cluster,0,fast,sql,,,any,SELECT ON mysql.*,,,L,high,"MY-REL-001 fired, the server listens on all interfaces, and wildcard-host accounts exist.",eol_as_of=2026-09-02,"as MY-REL-001, plus @@GLOBAL.bind_address, @@GLOBAL.skip_networking, and the wildcard-host account count",reference/checks-mysql.md#my-rel-002,https://endoflife.date/mysql,active,0.1.0,,
MY-REPL-001,"mysql,mariadb",REPL,1,Replication stopped with an error,replica,0,fast,sql,,,standby,SELECT ON performance_schema.*,,,M,med,A replication thread is not running and an error is recorded.,,@dbt_repl_io_state / @dbt_repl_sql_state / @dbt_repl_err_* (01_session.sql §6c),reference/checks-mysql.md#my-repl-001,https://dev.mysql.com/doc/refman/8.4/en/replication-administration-status.html,active,0.1.0,,
MY-SEC-001,"mysql,mariadb",SEC,1,Accounts with no password,role,0,fast,sql,,,any,SELECT ON mysql.*,,,S,med,"An unlocked, non-external-auth account has an empty credential.",,normalised account source @dbt_acct_src (01_session.sql §6d),reference/checks-mysql.md#my-sec-001,https://dev.mysql.com/doc/refman/8.4/en/assigning-passwords.html,active,0.1.0,,
MY-SEC-002,"mysql,mariadb",SEC,1,Superuser-equivalent account reachable from any host,role,0,fast,sql,,,any,SELECT ON mysql.*,,,S,med,An account with SUPER or all privileges has a wildcard host pattern.,,normalised account source @dbt_acct_src,reference/checks-mysql.md#my-sec-002,https://dev.mysql.com/doc/refman/8.4/en/privileges-provided.html,active,0.1.0,,
MY-CONN-001,"mysql,mariadb",CONN,5,Connections at or above 90 percent of max_connections,cluster,0,fast,sql,,,any,,,,S,med,Threads_connected or Max_used_connections >= 90% of max_connections.,conn_critical_ratio=0.90,"@dbt_s_threads_connected (now), @dbt_s_max_used_connections (since restart), @@GLOBAL.max_connections",reference/checks-mysql.md#my-conn-001,https://dev.mysql.com/doc/refman/8.4/en/too-many-connections.html,active,0.1.0,,
MY-DUR-003,"mysql,mariadb",DUR,5,Crash-unsafe replication source,cluster,0,fast,sql,,,any,PROCESS,,,S,med,MY-DUR-001 and MY-DUR-002 both true and replicas are connected.,,"@@GLOBAL.innodb_flush_log_at_trx_commit, @@GLOBAL.sync_binlog, @@GLOBAL.log_bin, information_schema.PROCESSLIST (Binlog Dump threads, via @dbt_binlog_dump_threads)",reference/checks-mysql.md#my-dur-003,https://dev.mysql.com/doc/refman/8.4/en/replication-solutions-performance.html,active,0.1.0,,
MY-SCHEMA-005,"mysql,mariadb",SCHEMA,5,AUTO_INCREMENT at or above 90 percent exhausted,relation,1,fast,sql,,,any,,,,L,high,AUTO_INCREMENT >= 90% of the column type maximum.,autoinc_critical_ratio=0.90;autoinc_warn_ratio=0.70,"sys.schema_auto_increment_columns, with an information_schema fallback",reference/checks-mysql.md#my-schema-005,https://dev.mysql.com/doc/refman/8.4/en/example-auto-increment.html,active,0.1.0,,
MY-SEC-003,"mysql,mariadb",SEC,5,Anonymous accounts present,role,0,fast,sql,,,any,SELECT ON mysql.*,,,S,med,An account with an empty username exists.,,normalised account source @dbt_acct_src,reference/checks-mysql.md#my-sec-003,https://dev.mysql.com/doc/refman/8.4/en/default-privileges.html,active,0.1.0,,
MY-UNDO-001,"mysql,mariadb",UNDO,5,InnoDB history list length very high,cluster,0,fast,sql,,,any,,,,M,med,"InnoDB history list length >= 1,000,000 undo records.",hll_critical=1000000,information_schema.INNODB_METRICS trx_rseg_history_len (via @dbt_hll),reference/checks-mysql.md#my-undo-001,https://dev.mysql.com/doc/refman/8.4/en/innodb-purge-configuration.html,active,0.1.0,,
MY-DUR-001,"mysql,mariadb",DUR,10,innodb_flush_log_at_trx_commit not 1,setting,0,fast,sql,,,any,,,,S,med,innodb_flush_log_at_trx_commit is 0 or 2.,,"@@GLOBAL.innodb_flush_log_at_trx_commit, @@GLOBAL.innodb_flush_log_at_timeout",reference/checks-mysql.md#my-dur-001,https://dev.mysql.com/doc/refman/8.4/en/innodb-parameters.html#sysvar_innodb_flush_log_at_trx_commit,active,0.1.0,,
MY-DUR-002,"mysql,mariadb",DUR,10,sync_binlog not 1,setting,0,fast,sql,,,any,,,,S,med,log_bin ON and sync_binlog <> 1.,,"@@GLOBAL.sync_binlog, @@GLOBAL.log_bin",reference/checks-mysql.md#my-dur-002,https://dev.mysql.com/doc/refman/8.4/en/replication-options-binary-log.html#sysvar_sync_binlog,active,0.1.0,,
MY-LOCK-001,"mysql,mariadb",LOCK,10,Transaction waiting on a row lock for over 5 minutes,session,0,fast,sql,,,any,PROCESS,,,S,med,A transaction has waited >= 300 s for a row lock.,lock_wait_critical_seconds=300;lock_wait_warn_seconds=30,"information_schema.INNODB_TRX (trx_wait_started, trx_state), PROCESSLIST",reference/checks-mysql.md#my-lock-001,https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html,active,0.1.0,,
MY-LOCK-004,"mysql,mariadb",LOCK,10,Idle transaction holding locks for over an hour,session,0,fast,sql,,,any,PROCESS,,,S,med,An idle transaction has held row locks >= 1 h.,idle_txn_critical_seconds=3600;idle_txn_warn_seconds=300,information_schema.INNODB_TRX joined to PROCESSLIST (COMMAND='Sleep'),reference/checks-mysql.md#my-lock-004,https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html,active,0.1.0,,
MY-REL-005,"mysql,mariadb",REL,10,Server restarted within the last 24 hours,cluster,0,fast,sql,,,any,,,,S,low,"Uptime < 86,400 s.",recent_restart_seconds=86400,@dbt_s_uptime,reference/checks-mysql.md#my-rel-005,https://dev.mysql.com/doc/refman/8.4/en/server-status-variables.html#statvar_Uptime,active,0.1.0,,
MY-REPL-002,"mysql,mariadb",REPL,10,Replication threads stopped without an error,replica,0,fast,sql,,,standby,SELECT ON performance_schema.*,,,S,med,A replication thread is not running and no error is recorded.,,@dbt_repl_io_state / @dbt_repl_sql_state / @dbt_repl_err_no,reference/checks-mysql.md#my-repl-002,https://dev.mysql.com/doc/refman/8.4/en/replication-administration-status.html,active,0.1.0,,
MY-REPL-005,"mysql,mariadb",REPL,10,Replica is writable,replica,0,fast,sql,,,standby,,,,S,med,Replica with read_only OFF or super_read_only OFF.,,"@@GLOBAL.read_only, @dbt_v_super_read_only, @dbt_is_replica",reference/checks-mysql.md#my-repl-005,https://dev.mysql.com/doc/refman/8.4/en/server-system-variables.html#sysvar_super_read_only,active,0.1.0,,
MY-BAK-003,"mysql,mariadb",BAK,20,Binary log retention shorter than one day,setting,0,fast,sql,,,any,,,,S,low,"Effective binary log retention < 86,400 s.",min_retention_seconds=86400,"@dbt_v_binlog_expire_logs_seconds, @dbt_v_expire_logs_days, @@GLOBAL.log_bin",reference/checks-mysql.md#my-bak-003,https://dev.mysql.com/doc/refman/8.4/en/replication-options-binary-log.html#sysvar_binlog_expire_logs_seconds,active,0.1.0,,
MY-CAP-002,"mysql,mariadb",CAP,20,Volume at or above 80 percent full,host,0,fast,os,,,any,os,rds;aurora;cloudsql;azure,,M,med,A MySQL volume is >= 80% full.,,,reference/checks-mysql.md#my-cap-002,https://dev.mysql.com/doc/refman/8.4/en/disk-issues.html,active,0.1.0,,
MY-CAP-003,"mysql,mariadb",CAP,20,Projected disk-full within 30 days,host,0,fast,derived,,,any,os,,,M,med,Projected disk-full within 30 days from snapshot growth.,,,reference/checks-mysql.md#my-cap-003,https://dev.mysql.com/doc/refman/8.4/en/disk-issues.html,planned,0.1.0,,
MY-CONN-003,"mysql,mariadb",CONN,20,Clients refused because max_connections was reached,cluster,0,fast,sql,,,any,,,,S,med,Connection_errors_max_connections > 0.,,@dbt_s_connection_errors_max_connections,reference/checks-mysql.md#my-conn-003,https://dev.mysql.com/doc/refman/8.4/en/server-status-variables.html#statvar_Connection_errors_xxx,active,0.1.0,,
MY-LOCK-003,"mysql,mariadb",LOCK,20,Transaction open for over an hour,session,0,fast,sql,,,any,PROCESS,,,S,med,A transaction has been open >= 1 h.,long_txn_seconds=3600,"information_schema.INNODB_TRX (trx_started), PROCESSLIST",reference/checks-mysql.md#my-lock-003,https://dev.mysql.com/doc/refman/8.4/en/innodb-transaction-model.html,active,0.1.0,,
MY-MEM-001,"mysql,mariadb",MEM,20,InnoDB buffer pool at the shipped default,setting,0,fast,sql,,,any,,,rds=200;aurora=200;cloudsql=200;azure=200,S,low,innodb_buffer_pool_size <= 128 MB with innodb_dedicated_server OFF.,default_pool_bytes=134217728,"@@GLOBAL.innodb_buffer_pool_size, @dbt_v_innodb_dedicated_server",reference/checks-mysql.md#my-mem-001,https://dev.mysql.com/doc/refman/8.4/en/innodb-buffer-pool-resize.html,active,0.1.0,,
MY-REL-001,"mysql,mariadb",REL,20,Server version is past end of life,cluster,0,fast,sql,,,any,,,vitess=200,L,med,The server's release branch is past its end-of-life date.,eol_as_of=2026-09-02,"@@GLOBAL.version, @dbt_fork, and the embedded release table below",reference/checks-mysql.md#my-rel-001,https://endoflife.date/mysql,active,0.1.0,,
MY-SCHEMA-001,"mysql,mariadb",SCHEMA,20,InnoDB tables without a primary key on a replicated source,relation,1,fast,sql,,,any,,,,L,med,An InnoDB table has no primary key and row-based binary logging is in use.,max_listed=20,"information_schema.TABLES, information_schema.STATISTICS (PRIMARY), @@GLOBAL.binlog_format, @@GLOBAL.log_bin, @dbt_binlog_dump_threads",reference/checks-mysql.md#my-schema-001,https://dev.mysql.com/doc/refman/8.4/en/replication-features-differing-tables.html,active,0.1.0,,
MY-BAK-004,"mysql,mariadb",BAK,50,Binary logs never expire,setting,0,fast,sql,,,any,,rds;aurora;cloudsql;azure,,S,low,log_bin ON and both retention variables are 0.,,"@dbt_v_binlog_expire_logs_seconds, @dbt_v_expire_logs_days, @@GLOBAL.log_bin",reference/checks-mysql.md#my-bak-004,https://dev.mysql.com/doc/refman/8.4/en/replication-options-binary-log.html#sysvar_binlog_expire_logs_seconds,active,0.1.0,,
MY-BAK-005,"mysql,mariadb",BAK,50,Restore never tested or RPO/RTO undocumented,interview,0,fast,interview,,,any,interview,,,M,low,"Last restore test > 90 days, never, or unknown.",,,reference/checks-mysql.md#my-bak-005,https://dev.mysql.com/doc/refman/8.4/en/backup-and-recovery.html,active,0.1.0,,
MY-CAP-006,"mysql,mariadb",CAP,50,Binary logs consuming excessive space,cluster,0,fast,derived,,,any,REPLICATION CLIENT,,,S,low,Binary logs occupy >= 100 GB or >= 25% of data size.,,,reference/checks-mysql.md#my-cap-006,https://dev.mysql.com/doc/refman/8.4/en/purge-binary-logs.html,planned,0.1.0,,
MY-CAP-007,"mysql,mariadb",CAP,50,General query log enabled,setting,0,fast,sql,,,any,,,,S,low,general_log = ON.,,"@@GLOBAL.general_log, @@GLOBAL.log_output, @dbt_s_questions",reference/checks-mysql.md#my-cap-007,https://dev.mysql.com/doc/refman/8.4/en/query-log.html,active,0.1.0,,
MY-CONN-002,"mysql,mariadb",CONN,50,Connections at or above 70 percent of max_connections,cluster,0,fast,sql,,,any,,,,S,low,Threads_connected or Max_used_connections >= 70% and < 90%.,conn_warn_ratio=0.70;conn_critical_ratio=0.90,as MY-CONN-001,reference/checks-mysql.md#my-conn-002,https://dev.mysql.com/doc/refman/8.4/en/too-many-connections.html,active,0.1.0,,
MY-CONN-006,"mysql,mariadb",CONN,50,max_connections very high with no thread pool and no evidence of a pooler,setting,0,fast,sql,,,any,PROCESS,,,L,med,"max_connections >= 1000, no thread pool, and connections are not concentrated.",high_max_connections=1000;pooler_host_concentration=0.80;pooler_max_hosts=3,"@@GLOBAL.max_connections, @dbt_v_thread_handling, information_schema.PLUGINS (thread_pool), information_schema.PROCESSLIST",reference/checks-mysql.md#my-conn-006,https://dev.mysql.com/doc/refman/8.4/en/connection-interfaces.html,active,0.1.0,,
MY-CONN-009,"mysql,mariadb",CONN,50,Server saturated at snapshot time,cluster,0,fast,sql,,,any,,,,M,low,"Threads_running >= 2 per core, or >= 64 when cores are unknown.",running_per_core=2;running_absolute=64,"@dbt_s_threads_running, @dbt_cpu_count",reference/checks-mysql.md#my-conn-009,https://dev.mysql.com/doc/refman/8.4/en/server-status-variables.html#statvar_Threads_running,active,0.1.0,,
MY-DUR-006,"mysql,mariadb",DUR,50,InnoDB page checksums disabled,setting,0,fast,sql,,,any,,,,L,med,innodb_checksum_algorithm = none.,,"@dbt_v_innodb_checksum_algorithm (bundle: present in MySQL 5.6+ and MariaDB 10.x, but read through the bundle so a fork that drops it yields NULL and this check stays silent instead of erroring)",reference/checks-mysql.md#my-dur-006,https://dev.mysql.com/doc/refman/8.4/en/innodb-parameters.html#sysvar_innodb_checksum_algorithm,active,0.1.0,,
MY-DUR-007,"mysql,mariadb",DUR,50,Non-transactional storage engines in use,relation,1,fast,sql,,,any,,,,L,med,Any user table uses a non-transactional storage engine.,max_rows=20,information_schema.TABLES,reference/checks-mysql.md#my-dur-007,https://dev.mysql.com/doc/refman/8.4/en/storage-engines.html,active,0.1.0,,
MY-IDX-001,"mysql,mariadb",IDX,50,Unused index of 1 GB or more,index,1,fast,sql,,,any,SELECT ON performance_schema.*;SELECT ON mysql.*,,,S,med,An index >= 1 GB has zero reads since restart.,unused_index_bytes=1073741824;min_uptime_days=30,"sys.schema_unused_indexes, or performance_schema.table_io_waits_summary_by_index_usage directly; mysql.innodb_index_stats (stat_name='size') x @@innodb_page_size for size",reference/checks-mysql.md#my-idx-001,https://dev.mysql.com/doc/refman/8.4/en/sys-schema-unused-indexes.html,active,0.1.0,,
MY-IDX-003,"mysql,mariadb",IDX,50,Redundant or duplicate indexes,index,1,fast,sql,,,any,,,,S,low,"An index is a leftmost prefix of, or identical to, another index.",,"sys.schema_redundant_indexes, or an information_schema.STATISTICS self-join where sys is absent",reference/checks-mysql.md#my-idx-003,https://dev.mysql.com/doc/refman/8.4/en/sys-schema-redundant-indexes.html,active,0.1.0,,
MY-IDX-004,"mysql,mariadb",IDX,50,Large table with heavy full table scans,relation,1,fast,sql,,,any,SELECT ON performance_schema.*,,,M,low,A table >= 1 GB has >= 10 M rows read without an index.,scan_table_bytes=1073741824;rows_full_scanned=10000000,"sys.schema_tables_with_full_table_scans (object_schema, object_name, rows_full_scanned), information_schema.TABLES for size",reference/checks-mysql.md#my-idx-004,https://dev.mysql.com/doc/refman/8.4/en/sys-schema-tables-with-full-table-scans.html,active,0.1.0,,
MY-LOCK-002,"mysql,mariadb",LOCK,50,Transaction waiting on a row lock for over 30 seconds,session,0,fast,sql,,,any,PROCESS,,,S,low,A transaction has waited >= 30 s and < 300 s for a row lock.,lock_wait_warn_seconds=30;lock_wait_critical_seconds=300,"information_schema.INNODB_TRX, PROCESSLIST",reference/checks-mysql.md#my-lock-002,https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html,active,0.1.0,,
MY-LOCK-005,"mysql,mariadb",LOCK,50,Idle transaction holding locks for over 5 minutes,session,0,fast,sql,,,any,PROCESS,,,S,low,An idle transaction has held row locks >= 5 min and < 1 h.,idle_txn_warn_seconds=300;idle_txn_critical_seconds=3600,information_schema.INNODB_TRX joined to PROCESSLIST,reference/checks-mysql.md#my-lock-005,https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html,active,0.1.0,,
MY-LOCK-006,"mysql,mariadb",LOCK,50,Sessions waiting for a metadata lock,cluster,0,fast,sql,,,any,PROCESS,,,S,high,A session has waited >= 30 s for a table metadata lock.,mdl_wait_seconds=30,information_schema.PROCESSLIST (STATE = 'Waiting for table metadata lock'),reference/checks-mysql.md#my-lock-006,https://dev.mysql.com/doc/refman/8.4/en/metadata-locking.html,active,0.1.0,,
MY-MEM-002,"mysql,mariadb",MEM,50,Buffer pool far smaller than the InnoDB working set,setting,1,fast,sql,,,any,,,,M,low,Buffer pool < 25% of InnoDB data and < 50% of RAM where RAM is known.,pool_to_data_ratio=0.25;pool_to_ram_ratio=0.50,"@@GLOBAL.innodb_buffer_pool_size, information_schema.TABLES, @dbt_ram_bytes",reference/checks-mysql.md#my-mem-002,https://dev.mysql.com/doc/refman/8.4/en/innodb-buffer-pool-resize.html,active,0.1.0,,
MY-MEM-007,"mysql,mariadb",MEM,50,Worst-case memory commitment exceeds host RAM,cluster,0,fast,sql,,,any,,,,M,med,"Worst-case memory commitment >= host RAM, or RAM unknown.",commitment_ratio=1.0,"@@GLOBAL.innodb_buffer_pool_size, innodb_log_buffer_size, key_buffer_size, max_connections, sort/join/read/read_rnd buffers, binlog_cache_size, thread_stack, tmp_table_size, @dbt_ram_bytes",reference/checks-mysql.md#my-mem-007,https://dev.mysql.com/doc/refman/8.4/en/memory-use.html,active,0.1.0,,
MY-MEM-011,"mysql,mariadb",MEM,50,Host is swapping,host,0,fast,os,,,any,os,rds;aurora;cloudsql;azure,,M,med,"Swap in use >= 1 GB, or non-zero swap-in/swap-out.",,,reference/checks-mysql.md#my-mem-011,https://dev.mysql.com/doc/refman/8.4/en/memory-use.html,active,0.1.0,,
MY-REPL-006,"mysql,mariadb",REPL,50,GTID not in use in a replicated topology,cluster,0,fast,sql,,,any,,,,L,med,Replication configured and GTID not in use.,,"@dbt_v_gtid_mode (MySQL), @dbt_repl_using_gtid (both), @dbt_v_gtid_strict_mode / @dbt_v_gtid_binlog_pos (MariaDB)",reference/checks-mysql.md#my-repl-006,https://dev.mysql.com/doc/refman/8.4/en/replication-gtids.html,active,0.1.0,,
MY-REPL-007,"mysql,mariadb",REPL,50,Statement-based binary logging,setting,0,fast,sql,,,any,,,,M,med,log_bin ON and binlog_format = STATEMENT.,,"@@GLOBAL.binlog_format, @@GLOBAL.log_bin",reference/checks-mysql.md#my-repl-007,https://dev.mysql.com/doc/refman/8.4/en/binary-log-formats.html,active,0.1.0,,
MY-REPL-008,"mysql,mariadb",REPL,50,Replication errors are being skipped,setting,0,fast,sql,,,any,,,,S,high,"skip_errors is set, or exec_mode is IDEMPOTENT.",,"@dbt_v_replica_skip_errors / @dbt_v_slave_skip_errors, @dbt_v_replica_exec_mode / @dbt_v_slave_exec_mode",reference/checks-mysql.md#my-repl-008,https://dev.mysql.com/doc/refman/8.4/en/replication-options-replica.html#sysvar_replica_skip_errors,active,0.1.0,,
MY-REPL-009,"mysql,mariadb",REPL,50,Semi-synchronous replication has fallen back to asynchronous,cluster,0,fast,sql,,,any,,,,M,med,Semi-sync enabled but its status variable reads OFF.,,"@dbt_v_rpl_semi_sync_source_enabled / @dbt_v_rpl_semi_sync_master_enabled, @dbt_s_rpl_semi_sync_source_status / @dbt_s_rpl_semi_sync_master_status, @dbt_s_rpl_semi_sync_*_no_tx",reference/checks-mysql.md#my-repl-009,https://dev.mysql.com/doc/refman/8.4/en/replication-semisync.html,active,0.1.0,,
MY-REPL-015,"mysql,mariadb",REPL,50,Replication filters configured,cluster,0,fast,sql,,,any,,,,M,med,Any replication filter is configured.,,"performance_schema.replication_applier_filters / replication_applier_global_filters (MySQL 8.0.1+); @dbt_v_replicate_* bundle variables (MariaDB, and MySQL where the performance_schema tables are unavailable)",reference/checks-mysql.md#my-repl-015,https://dev.mysql.com/doc/refman/8.4/en/replication-rules.html,active,0.1.0,,
MY-SCHEMA-004,"mysql,mariadb",SCHEMA,50,sql_mode is not strict,setting,0,fast,sql,,,any,,,,M,high,Global sql_mode lacks a STRICT mode or a zero-date restriction.,,@dbt_global_sql_mode (the GLOBAL value captured in 01_session.sql BEFORE this session changed its own sql_mode),reference/checks-mysql.md#my-schema-004,https://dev.mysql.com/doc/refman/8.4/en/sql-mode.html#sql-mode-strict,active,0.1.0,,
MY-SCHEMA-006,"mysql,mariadb",SCHEMA,50,AUTO_INCREMENT at or above 70 percent exhausted,relation,1,fast,sql,,,any,,,,L,high,AUTO_INCREMENT >= 70% and < 90% of the column type maximum.,autoinc_critical_ratio=0.90;autoinc_warn_ratio=0.70,"sys.schema_auto_increment_columns, with an information_schema fallback",reference/checks-mysql.md#my-schema-006,https://dev.mysql.com/doc/refman/8.4/en/example-auto-increment.html,active,0.1.0,,
MY-SCHEMA-007,"mysql,mariadb",SCHEMA,50,Integrity checks disabled globally,setting,0,fast,sql,,,any,,,,S,high,foreign_key_checks or unique_checks is OFF at global scope.,,"@@GLOBAL.foreign_key_checks, @@GLOBAL.unique_checks",reference/checks-mysql.md#my-schema-007,https://dev.mysql.com/doc/refman/8.4/en/server-system-variables.html#sysvar_foreign_key_checks,active,0.1.0,,
MY-SCHEMA-013,"mysql,mariadb",SCHEMA,50,Shared InnoDB tablespace in use,relation,1,fast,sql,,,any,,,,L,high,"innodb_file_per_table OFF, or tables remain in the system tablespace.",,"@@GLOBAL.innodb_file_per_table, information_schema.INNODB_TABLES (MySQL 8.0) or information_schema.INNODB_SYS_TABLES (MySQL 5.7 / MariaDB)",reference/checks-mysql.md#my-schema-013,https://dev.mysql.com/doc/refman/8.4/en/innodb-file-per-table-tablespaces.html,active,0.1.0,,
